Date,ProductID,StoreID,QtyIn,QtyOut,Balance
1/1/2024,P049,ST001,54,0,54
1/1/2024,P003,ST002,0,0,0
1/1/2024,P034,ST002,0,0,0
1/1/2024,P028,ST001,0,0,0
1/1/2024,P007,ST002,0,0,0
1/1/2024,P015,ST002,0,0,0
1/1/2024,P028,ST002,71,0,71
1/1/2024,P024,ST001,0,0,0
1/1/2024,P018,ST001,0,0,0
1/1/2024,P026,ST002,0,0,0
1/1/2024,P024,ST001,62,0,62
1/2/2024,P008,ST001,0,0,0
1/2/2024,P010,ST002,0,0,0
1/2/2024,P029,ST002,0,0,0
1/2/2024,P037,ST002,0,0,0
1/2/2024,P003,ST002,0,0,0
1/2/2024,P047,ST002,0,0,0
1/2/2024,P013,ST002,0,0,0
1/2/2024,P013,ST002,0,0,0
1/2/2024,P011,ST001,0,0,0
1/2/2024,P028,ST001,0,0,0
1/2/2024,P048,ST001,0,0,0
1/2/2024,P047,ST002,0,0,0
1/2/2024,P037,ST002,0,0,0
1/2/2024,P045,ST002,0,0,0
1/2/2024,P038,ST001,0,0,0
1/3/2024,P020,ST002,0,0,0
1/3/2024,P044,ST001,0,0,0
1/3/2024,P037,ST001,0,0,0
1/3/2024,P049,ST002,0,0,0
1/3/2024,P023,ST001,94,0,94
1/3/2024,P024,ST002,0,0,0
1/3/2024,P034,ST002,0,0,0
1/3/2024,P007,ST001,35,0,35
1/3/2024,P027,ST002,0,0,0
1/3/2024,P036,ST001,0,0,0
1/3/2024,P029,ST002,0,0,0
1/3/2024,P037,ST001,0,0,0
1/4/2024,P012,ST002,0,0,0
1/4/2024,P022,ST002,0,0,0
1/4/2024,P020,ST001,0,0,0
1/4/2024,P018,ST002,0,0,0
1/4/2024,P010,ST002,0,0,0
1/4/2024,P039,ST001,0,0,0
1/4/2024,P049,ST002,0,0,0
1/4/2024,P009,ST001,0,0,0
1/4/2024,P011,ST001,0,0,0
1/4/2024,P012,ST002,0,0,0
1/5/2024,P026,ST001,0,0,0
1/5/2024,P008,ST002,0,0,0
1/5/2024,P039,ST002,0,0,0
1/5/2024,P036,ST001,0,0,0
1/5/2024,P044,ST002,0,0,0
1/5/2024,P016,ST002,0,0,0
1/5/2024,P029,ST002,0,0,0
1/5/2024,P001,ST002,0,0,0
1/5/2024,P013,ST002,0,0,0
1/5/2024,P018,ST002,0,0,0
1/5/2024,P012,ST001,0,0,0
1/5/2024,P049,ST002,0,0,0
1/5/2024,P021,ST002,0,0,0
1/5/2024,P036,ST001,0,0,0
1/6/2024,P017,ST002,0,0,0
1/6/2024,P009,ST001,0,0,0
1/6/2024,P029,ST002,29,0,29
1/6/2024,P001,ST001,0,0,0
1/6/2024,P024,ST002,0,0,0
1/6/2024,P030,ST001,0,0,0
1/6/2024,P012,ST002,0,0,0
1/7/2024,P049,ST002,0,0,0
1/7/2024,P023,ST002,0,0,0
1/7/2024,P012,ST001,0,0,0
1/7/2024,P036,ST001,0,0,0
1/7/2024,P049,ST002,0,0,0
1/7/2024,P043,ST001,0,0,0
1/8/2024,P029,ST001,0,0,0
1/8/2024,P020,ST001,0,0,0
1/8/2024,P006,ST001,0,0,0
1/8/2024,P038,ST002,0,0,0
1/8/2024,P036,ST002,0,0,0
1/8/2024,P036,ST002,70,0,70
1/8/2024,P018,ST002,0,0,0
1/8/2024,P048,ST002,97,0,97
1/8/2024,P003,ST002,0,0,0
1/9/2024,P022,ST001,0,0,0
1/9/2024,P050,ST002,0,0,0
1/9/2024,P021,ST001,67,0,67
1/9/2024,P038,ST002,0,0,0
1/9/2024,P002,ST001,0,0,0
1/9/2024,P033,ST001,0,0,0
1/9/2024,P010,ST001,0,0,0
1/9/2024,P049,ST002,0,0,0
1/10/2024,P036,ST001,0,0,0
1/10/2024,P007,ST001,0,10,25
1/10/2024,P045,ST001,81,0,81
1/10/2024,P001,ST001,27,0,27
1/10/2024,P031,ST002,0,0,0
1/10/2024,P021,ST001,0,5,62
1/10/2024,P045,ST001,0,6,75
1/10/2024,P016,ST001,0,0,0
1/10/2024,P042,ST002,0,0,0
1/10/2024,P007,ST002,0,0,0
1/10/2024,P048,ST001,0,0,0
1/10/2024,P030,ST002,0,0,0
1/10/2024,P004,ST002,81,0,81
1/10/2024,P050,ST001,0,0,0
1/11/2024,P047,ST001,0,0,0
1/11/2024,P048,ST002,0,2,95
1/11/2024,P024,ST002,0,0,0
1/11/2024,P028,ST001,0,0,0
1/11/2024,P026,ST001,0,0,0
1/11/2024,P031,ST001,0,0,0
1/11/2024,P031,ST001,0,0,0
1/11/2024,P008,ST001,0,0,0
1/11/2024,P031,ST001,0,0,0
1/11/2024,P023,ST002,0,0,0
1/11/2024,P008,ST001,0,0,0
1/12/2024,P031,ST002,0,0,0
1/12/2024,P040,ST001,0,0,0
1/12/2024,P033,ST002,0,0,0
1/12/2024,P045,ST002,0,0,0
1/12/2024,P019,ST002,0,0,0
1/12/2024,P034,ST002,0,0,0
1/13/2024,P032,ST001,0,0,0
1/13/2024,P018,ST001,0,0,0
1/13/2024,P016,ST001,0,0,0
1/13/2024,P048,ST001,0,0,0
1/13/2024,P002,ST001,0,0,0
1/13/2024,P002,ST001,0,0,0
1/13/2024,P034,ST002,0,0,0
1/13/2024,P021,ST001,60,8,114
1/13/2024,P002,ST001,0,0,0
1/13/2024,P003,ST002,0,0,0
1/14/2024,P013,ST002,0,0,0
1/14/2024,P016,ST001,0,0,0
1/14/2024,P003,ST002,27,0,27
1/14/2024,P031,ST002,0,0,0
1/14/2024,P001,ST001,0,9,18
1/14/2024,P020,ST001,0,0,0
1/14/2024,P012,ST002,0,0,0
1/14/2024,P033,ST002,0,0,0
1/14/2024,P040,ST002,0,0,0
1/15/2024,P037,ST002,0,0,0
1/15/2024,P045,ST001,0,4,71
1/15/2024,P032,ST002,0,0,0
1/15/2024,P037,ST001,0,0,0
1/15/2024,P040,ST001,0,0,0
1/15/2024,P008,ST002,0,0,0
1/15/2024,P011,ST001,0,0,0
1/15/2024,P036,ST001,74,0,74
1/15/2024,P002,ST001,0,0,0
1/16/2024,P034,ST001,0,0,0
1/16/2024,P042,ST002,0,0,0
1/16/2024,P005,ST001,0,0,0
1/16/2024,P018,ST002,0,0,0
1/16/2024,P024,ST001,0,6,56
1/16/2024,P005,ST002,0,0,0
1/16/2024,P035,ST001,0,0,0
1/16/2024,P034,ST001,0,0,0
1/16/2024,P026,ST001,0,0,0
1/16/2024,P034,ST002,0,0,0
1/16/2024,P028,ST001,0,0,0
1/16/2024,P005,ST001,0,0,0
1/17/2024,P049,ST002,0,0,0
1/17/2024,P008,ST001,89,0,89
1/17/2024,P012,ST002,0,0,0
1/17/2024,P021,ST002,0,0,0
1/17/2024,P022,ST001,0,0,0
1/17/2024,P037,ST001,0,0,0
1/17/2024,P044,ST002,0,0,0
1/17/2024,P044,ST002,34,0,34
1/17/2024,P036,ST002,0,7,63
1/17/2024,P001,ST002,38,0,38
1/17/2024,P019,ST001,0,0,0
1/17/2024,P003,ST002,0,1,26
1/17/2024,P037,ST001,0,0,0
1/18/2024,P016,ST001,0,0,0
1/18/2024,P048,ST002,0,5,90
1/18/2024,P027,ST002,0,0,0
1/18/2024,P031,ST001,0,0,0
1/18/2024,P015,ST001,0,0,0
1/18/2024,P036,ST002,0,9,54
1/18/2024,P046,ST001,0,0,0
1/18/2024,P015,ST001,0,0,0
1/18/2024,P033,ST002,0,0,0
1/18/2024,P025,ST001,0,0,0
1/18/2024,P002,ST002,0,0,0
1/18/2024,P005,ST002,0,0,0
1/18/2024,P025,ST001,0,0,0
1/18/2024,P026,ST002,0,0,0
1/19/2024,P020,ST001,0,0,0
1/19/2024,P025,ST001,0,0,0
1/19/2024,P015,ST002,0,0,0
1/19/2024,P002,ST001,0,0,0
1/19/2024,P037,ST002,62,0,62
1/19/2024,P028,ST001,60,0,60
1/20/2024,P020,ST002,0,0,0
1/20/2024,P001,ST001,0,5,13
1/20/2024,P008,ST002,0,0,0
1/20/2024,P013,ST001,0,0,0
1/20/2024,P015,ST002,0,0,0
1/20/2024,P048,ST001,0,0,0
1/20/2024,P044,ST002,0,6,28
1/20/2024,P027,ST002,0,0,0
1/21/2024,P008,ST001,0,4,85
1/21/2024,P015,ST001,0,0,0
1/21/2024,P009,ST002,0,0,0
1/21/2024,P019,ST002,68,0,68
1/21/2024,P042,ST001,0,0,0
1/21/2024,P018,ST002,0,0,0
1/21/2024,P040,ST002,0,0,0
1/21/2024,P034,ST001,88,0,88
1/22/2024,P032,ST002,0,0,0
1/22/2024,P027,ST002,0,0,0
1/22/2024,P013,ST001,0,0,0
1/22/2024,P014,ST002,0,0,0
1/22/2024,P034,ST002,0,0,0
1/22/2024,P027,ST002,0,0,0
1/22/2024,P018,ST001,0,0,0
1/22/2024,P026,ST001,0,0,0
1/22/2024,P006,ST002,0,0,0
1/22/2024,P009,ST001,0,0,0
1/22/2024,P002,ST001,0,0,0
1/23/2024,P048,ST001,0,0,0
1/23/2024,P041,ST002,0,0,0
1/23/2024,P043,ST002,0,0,0
1/23/2024,P009,ST001,0,0,0
1/23/2024,P013,ST002,52,0,52
1/23/2024,P022,ST002,0,0,0
1/23/2024,P036,ST001,0,10,64
1/23/2024,P018,ST002,0,0,0
1/23/2024,P022,ST002,0,0,0
1/23/2024,P029,ST002,0,6,23
1/24/2024,P014,ST001,0,0,0
1/24/2024,P027,ST002,0,0,0
1/24/2024,P035,ST002,0,0,0
1/24/2024,P001,ST001,0,10,3
1/24/2024,P049,ST002,0,0,0
1/24/2024,P017,ST002,0,0,0
1/25/2024,P004,ST002,0,8,73
1/25/2024,P012,ST002,0,0,0
1/25/2024,P048,ST001,51,0,51
1/25/2024,P024,ST002,0,0,0
1/25/2024,P033,ST001,0,0,0
1/25/2024,P041,ST001,0,0,0
1/25/2024,P029,ST001,0,0,0
1/26/2024,P039,ST001,51,0,51
1/26/2024,P037,ST001,0,0,0
1/26/2024,P015,ST001,0,0,0
1/26/2024,P028,ST001,0,5,55
1/26/2024,P046,ST002,0,0,0
1/27/2024,P043,ST002,0,0,0
1/27/2024,P016,ST002,0,0,0
1/27/2024,P005,ST001,0,0,0
1/27/2024,P041,ST001,0,0,0
1/27/2024,P013,ST001,0,0,0
1/27/2024,P004,ST002,0,4,69
1/27/2024,P027,ST001,0,0,0
1/28/2024,P006,ST001,0,0,0
1/28/2024,P024,ST001,0,9,47
1/28/2024,P021,ST001,0,6,108
1/28/2024,P047,ST002,0,0,0
1/28/2024,P003,ST001,0,0,0
1/28/2024,P019,ST002,0,4,64
1/28/2024,P023,ST001,0,6,88
1/28/2024,P035,ST002,0,0,0
1/28/2024,P009,ST001,0,0,0
1/28/2024,P037,ST001,37,0,37
1/28/2024,P015,ST002,0,0,0
1/28/2024,P026,ST001,0,0,0
1/28/2024,P016,ST001,0,0,0
1/28/2024,P023,ST002,0,0,0
1/28/2024,P006,ST001,0,0,0
1/29/2024,P003,ST002,0,6,20
1/29/2024,P023,ST002,0,0,0
1/29/2024,P006,ST002,0,0,0
1/29/2024,P042,ST001,0,0,0
1/29/2024,P031,ST001,0,0,0
1/29/2024,P023,ST002,0,0,0
1/29/2024,P041,ST002,21,0,21
1/29/2024,P018,ST001,0,0,0
1/29/2024,P042,ST002,0,0,0
1/29/2024,P050,ST001,0,0,0
1/29/2024,P029,ST002,0,8,15
1/29/2024,P004,ST001,0,0,0
1/29/2024,P035,ST001,0,0,0
1/30/2024,P026,ST001,0,0,0
1/30/2024,P030,ST001,0,0,0
1/30/2024,P023,ST002,0,0,0
1/30/2024,P046,ST002,0,0,0
1/30/2024,P050,ST002,46,0,46
1/30/2024,P018,ST002,0,0,0
1/30/2024,P049,ST002,17,0,17
1/31/2024,P047,ST001,0,0,0
1/31/2024,P025,ST002,0,0,0
1/31/2024,P007,ST002,0,0,0
1/31/2024,P021,ST001,0,3,105
1/31/2024,P046,ST001,0,0,0
1/31/2024,P040,ST002,0,0,0
1/31/2024,P029,ST001,0,0,0
1/31/2024,P017,ST002,0,0,0
2/1/2024,P001,ST001,88,3,88
2/1/2024,P022,ST001,77,0,77
2/1/2024,P005,ST002,0,0,0
2/1/2024,P024,ST002,0,0,0
2/1/2024,P006,ST002,0,0,0
2/1/2024,P047,ST001,0,0,0
2/1/2024,P005,ST002,0,0,0
2/1/2024,P031,ST002,11,0,11
2/1/2024,P026,ST002,0,0,0
2/1/2024,P026,ST001,0,0,0
2/1/2024,P006,ST001,0,0,0
2/1/2024,P032,ST002,0,0,0
2/1/2024,P012,ST002,0,0,0
2/2/2024,P001,ST001,0,2,86
2/2/2024,P040,ST001,0,0,0
2/2/2024,P024,ST001,0,1,46
2/2/2024,P031,ST002,0,1,10
2/2/2024,P050,ST001,0,0,0
2/2/2024,P043,ST002,0,0,0
2/2/2024,P019,ST001,0,0,0
2/2/2024,P003,ST002,0,7,13
2/2/2024,P033,ST001,0,0,0
2/3/2024,P038,ST002,0,0,0
2/3/2024,P036,ST001,0,2,62
2/3/2024,P050,ST001,47,0,47
2/3/2024,P001,ST002,0,9,29
2/3/2024,P013,ST001,0,0,0
2/3/2024,P002,ST002,54,0,54
2/3/2024,P036,ST001,0,5,57
2/3/2024,P026,ST001,0,0,0
2/4/2024,P018,ST002,0,0,0
2/4/2024,P019,ST002,0,6,58
